adds,dist_min
"1587 Roberta Dr, San Mateo, CA 94403, USA",517.584429859872
"1601 Van Buren St, San Mateo, CA 94403, USA",389.734858257515
"2422 Elliott St, San Mateo, CA 94403, USA",53.6885746265101
"809 Constitution Dr, Foster City, CA 94404, USA",475.771274695496
"837 Vega Cir, Foster City, CA 94404, USA",509.925378890427
"133 Poinsettia Ave, San Mateo, CA 94403, USA",7.49926963691862
"3268 Los Prados St, San Mateo, CA 94403, USA",621.515025867395
"117 Vailwood Pl, San Mateo, CA 94403, USA",64.3381232351511
"401 Bodega St, Foster City, CA 94404, USA",89.8928253969667
"480 Port Royal Ave, Foster City, CA 94404, USA",492.79153474538
"1421 St Kitts Ln, Foster City, CA 94404, USA",181.42123581855
"335 Menhaden Ct, Foster City, CA 94404, USA",119.072697201357
"374 St Martin Dr, Redwood City, CA 94065, USA",241.789554203405
"519 Compass Cir, Redwood City, CA 94065, USA",362.209043288045
"408 Bark Dr, Redwood City, CA 94065, USA",491.46269178627
"53 Waterside Cir, Redwood City, CA 94065, USA",63.4390377529336
"2217 Pulgas Ave, East Palo Alto, CA 94303, USA",169.006803911145
"813 Bruce Dr, Palo Alto, CA 94303, USA",3.31820816756531
"3167 Stockton Pl, Palo Alto, CA 94303, USA",311.525074292392
"982 Lawrence Ln, Palo Alto, CA 94303, USA",319.527546033483
"3810 Nathan Way, Palo Alto, CA 94303, USA",212.966511369051
"1560 Gold St, San Jose, CA 95002, USA",113.993757739272
"1227 Michigan Ave, San Jose, CA 95002, USA",12.0131803819206
"841 Estancia Way, San Rafael, CA 94903, USA",67.3300427074832
"62 Belvedere St, San Rafael, CA 94901, USA",246.41430048133
"6 Beach Dr, San Rafael, CA 94901, USA",3.28328983413534
"1 Falmouth Cove, San Rafael, CA 94901, USA",46.1063715347858
"34 Peninsula Rd, Belvedere Tiburon, CA 94920, USA",142.753139034272
"3986 Horner St, Union City, CA 94587, USA",80.9946678409721
"1020 Indian Ave, San Mateo, CA 94401, USA",205.39155487908
"1524 York Ave, San Mateo, CA 94401, USA",143.289400700203
"1665 Eleanor Dr, San Mateo, CA 94402, USA",168.742165914523
"813 E 16th Ave, San Mateo, CA 94402, USA",293.652222001042
"1701 Kelly St, San Mateo, CA 94403, USA",299.427978870147
"1618 Roberta Dr, San Mateo, CA 94403, USA",552.838459127354
"951 Mariners Island Blvd, San Mateo, CA 94404, USA",196.525559255488
"San Mateo, CA 94404, USA",244.795251172054
"892 Jupiter Ct, Foster City, CA 94404, USA",147.997908236496
"882 Chrysopolis Dr, Foster City, CA 94404, USA",334.98115164539
"812 Chrysopolis Dr, Foster City, CA 94404, USA",436.402836214967
"945 Laguna Cir, Foster City, CA 94404, USA",702.956176094531
"3973 Martin Dr, San Mateo, CA 94403, USA",211.10204153647
"3506 Martin Dr, San Mateo, CA 94403, USA",181.76076214902
"4020 Branson Dr, San Mateo, CA 94403, USA",88.1702074342852
"431 Bodega St, Foster City, CA 94404, USA",49.2709615686993
"1412 St Kitts Ln, Foster City, CA 94404, USA",268.077077299891
"324 Treedust St, Redwood City, CA 94065, USA",163.22580628781
"308 Sea Cliff Ln, Redwood City, CA 94065, USA",229.606399085947
"3165 Hoover St, Redwood City, CA 94063, USA",268.65189986527
"4828 Jennifer Ct, Union City, CA 94587, USA",7.29240627972138
"1678 Purdue Ave, East Palo Alto, CA 94303, USA",20.6647427678082
"1681 Tulane Ave, East Palo Alto, CA 94303, USA",53.6856882183573
"1761 Tulane Ave, East Palo Alto, CA 94303, USA",15.8766711575128
"926 Mouton Cir, East Palo Alto, CA 94303, USA",27.3677280253587
"167 Daphne Way, East Palo Alto, CA 94303, USA",4.89988947085589
"127 Birch Way, San Rafael, CA 94903, USA",177.071945697143
"29 Del Oro Lagoon, Novato, CA 94949, USA",32.636804653235
"62 Mohawk Ave, Corte Madera, CA 94925, USA",27.0775504207885
"245 Bahia Pl, San Rafael, CA 94901, USA",240.855747857567
"14 Harbor Dr, Corte Madera, CA 94925, USA",108.13657078646
"22 Windward Rd, Belvedere Tiburon, CA 94920, USA",162.321632486829
"Unnamed Road, Belvedere Tiburon, CA 94920, USA",185.849886957899
"120 N Rochester St, San Mateo, CA 94401, USA",92.9595050539546
"354 N Humboldt St, San Mateo, CA 94401, USA",189.788467414555
"725 Rand St, San Mateo, CA 94401, USA",274.211870762497
"1205 Birch Ave, San Mateo, CA 94402, USA",273.374521144592
"1512 Noe Ave, San Mateo, CA 94401, USA",375.516487771443
"1040 Norton St, San Mateo, CA 94401, USA",329.919613311589
"865 Ada St, San Mateo, CA 94401, USA",450.402213720318
"1716 Cottage Grove Ave, San Mateo, CA 94401, USA",317.72847307519
"2318 Clipper St, San Mateo, CA 94403, USA",243.012516601565
"2327 Clipper St, San Mateo, CA 94403, USA",258.060827948722
"990 Swan St, Foster City, CA 94404, USA",187.51494255109
"1771 Brooks St, San Mateo, CA 94403, USA",495.327503815362
"705 Foster City Blvd, Foster City, CA 94404, USA",578.045172678935
"847 Arcturus Cir, Foster City, CA 94404, USA",658.29175182479
"140 Trimaran Ct, Foster City, CA 94404, USA",412.290061597531
"3968 Martin Dr, San Mateo, CA 94403, USA",247.907360250513
"309 San Miguel Way, San Mateo, CA 94403, USA",209.062382356803
"3521 Pasadena Dr, San Mateo, CA 94403, USA",291.690622487857
"4016 Branson Dr, San Mateo, CA 94403, USA",74.4341123041683
"332 Thatcher Ln, Foster City, CA 94404, USA",275.145256024003
"502 Nottingham Ln, Foster City, CA 94404, USA",398.906630243247
"364 Timberhead Ln, Foster City, CA 94404, USA",33.1492245743551
"337 Bowfin St, Foster City, CA 94404, USA",325.224094534032
"503 Lichen Ln, Redwood City, CA 94065, USA",103.889044056156
"491 Tiller Ln, Redwood City, CA 94065, USA",213.465351967359
"340 Saginaw Dr, Redwood City, CA 94063, USA",47.5520344624011
