country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Ukraine,Vinnytsya,0,2656463,2656463,2656463,22342,493,419,379,757,573,687,837,751,855,846,989,960,1099,1448,1524,2049,2255,2009,1391,1867,1754,1665,1768,1747
Ukraine,Vinnytsya,10,2656463,519245,503198,22342,490,417,377,751,567,681,828,735,848,839,985,943,1059,1402,1474,1948,2102,1892,1320,1664,1549,1485,1614,1555
Ukraine,Vinnytsya,15,2656463,497325,467882,22342,489,417,377,749,566,680,827,732,846,839,983,939,1056,1395,1468,1938,2087,1881,1313,1649,1534,1475,1601,1527
Ukraine,Vinnytsya,20,2656463,481671,463117,22342,489,417,376,749,566,679,827,731,845,838,983,937,1054,1393,1466,1931,2076,1875,1311,1641,1526,1468,1594,1515
Ukraine,Vinnytsya,25,2656463,465118,451176,22342,489,416,376,748,564,679,826,730,844,836,982,934,1052,1390,1463,1927,2066,1869,1309,1630,1517,1461,1586,1501
Ukraine,Vinnytsya,30,2656463,441108,438951,22342,488,416,376,748,564,678,825,729,844,836,982,932,1048,1386,1459,1918,2050,1856,1302,1616,1508,1451,1574,1477
Ukraine,Vinnytsya,50,2656463,391322,377685,22342,481,412,372,737,553,670,818,720,833,826,972,916,1033,1365,1438,1869,1980,1803,1274,1545,1452,1387,1530,1416
Ukraine,Vinnytsya,75,2656463,317902,293130,22342,432,382,350,684,502,623,784,686,786,786,930,866,964,1280,1362,1710,1806,1663,1179,1399,1334,1262,1397,1291
Ukraine,Volyn,0,2033910,2033910,2033910,71983,2127,2108,2699,4772,2672,4615,5857,5406,3990,4431,4489,4618,2690,4147,4380,9741,9579,8877,6736,6869,5186,4885,5232,5330
Ukraine,Volyn,10,2033910,822250,806920,71983,2118,2097,2694,4762,2667,4603,5840,5390,3982,4425,4480,4602,2651,4062,4296,9251,9259,8546,6370,6519,4680,3911,4202,4606
Ukraine,Volyn,15,2033910,799835,773731,71983,2112,2091,2691,4756,2663,4594,5833,5384,3978,4423,4475,4596,2642,4047,4279,9183,9203,8488,6336,6486,4657,3865,4160,4579
Ukraine,Volyn,20,2033910,785855,766423,71983,2109,2087,2688,4752,2661,4588,5829,5380,3976,4420,4472,4594,2639,4040,4270,9149,9178,8462,6318,6467,4645,3844,4141,4567
Ukraine,Volyn,25,2033910,772700,749775,71983,2108,2085,2685,4749,2657,4584,5826,5375,3974,4419,4471,4591,2632,4031,4255,9098,9143,8423,6294,6447,4633,3821,4117,4549
Ukraine,Volyn,30,2033910,753221,733477,71983,2106,2082,2683,4748,2654,4581,5823,5372,3972,4418,4469,4587,2622,4015,4238,9024,9092,8361,6258,6419,4613,3794,4087,4525
Ukraine,Volyn,50,2033910,666393,616054,71983,2047,1995,2583,4619,2582,4381,5645,5239,3889,4357,4400,4498,2480,3852,4053,8346,8495,7579,5812,6060,4391,3559,3838,4306
Ukraine,Volyn,75,2033910,410152,206679,71983,1783,1658,2119,3845,2193,3565,4665,4503,3314,3799,3817,3844,1474,2399,2520,4749,4922,3752,3088,3508,2623,2157,2282,2606
Ukraine,Zakarpattia,0,1277805,1277805,1277805,17371,2154,883,1655,2233,1571,1809,6777,2286,2299,1992,2548,2948,1743,3065,2538,4419,3198,2821,1967,2654,1759,1186,2026,1451
Ukraine,Zakarpattia,10,1277805,814183,794950,17371,2151,881,1650,2227,1569,1801,6762,2282,2293,1991,2540,2934,1710,3037,2521,4370,3173,2803,1961,2632,1743,1168,1954,1416
Ukraine,Zakarpattia,15,1277805,798459,779536,17371,2150,881,1648,2227,1568,1800,6760,2281,2292,1991,2539,2932,1706,3033,2520,4366,3170,2801,1960,2629,1741,1166,1949,1414
Ukraine,Zakarpattia,20,1277805,791420,774387,17371,2149,881,1647,2227,1568,1799,6758,2281,2292,1991,2539,2931,1704,3032,2518,4364,3168,2800,1960,2628,1741,1166,1946,1412
Ukraine,Zakarpattia,25,1277805,785771,766998,17371,2149,881,1646,2226,1568,1799,6756,2279,2291,1990,2538,2929,1701,3030,2517,4362,3166,2799,1960,2628,1739,1164,1943,1411
Ukraine,Zakarpattia,30,1277805,775262,759053,17371,2148,880,1645,2226,1567,1799,6754,2279,2290,1990,2537,2929,1697,3026,2516,4359,3164,2797,1958,2626,1738,1163,1938,1409
Ukraine,Zakarpattia,50,1277805,741727,719849,17371,2134,877,1625,2216,1559,1790,6715,2270,2278,1986,2526,2914,1677,3007,2505,4335,3145,2784,1952,2615,1732,1151,1914,1399
Ukraine,Zakarpattia,75,1277805,667433,573122,17371,2046,855,1532,2152,1516,1738,6470,2202,2207,1956,2467,2842,1602,2923,2434,4206,3043,2699,1907,2555,1697,1114,1830,1365
Ukraine,Zaporizhia,0,2672973,2672973,2672973,8064,20,47,55,33,44,28,59,44,88,24,33,63,13,16,1,38,81,43,29,51,25,30,223,511
Ukraine,Zaporizhia,10,2672973,115545,142588,8064,14,32,40,20,34,17,44,33,70,19,18,38,10,14,0,23,57,25,20,35,18,23,182,447
Ukraine,Zaporizhia,15,2672973,95405,108748,8064,14,29,36,18,34,16,42,33,67,18,15,36,10,14,0,22,57,25,20,34,18,23,180,444
Ukraine,Zaporizhia,20,2672973,81907,105111,8064,13,27,36,18,33,15,41,33,65,18,15,35,9,14,0,22,55,23,20,33,17,23,179,440
Ukraine,Zaporizhia,25,2672973,70515,95839,8064,13,26,35,17,30,15,40,32,64,18,14,31,9,14,0,20,52,22,19,32,16,22,174,436
Ukraine,Zaporizhia,30,2672973,56018,81249,8064,13,23,35,16,30,14,38,32,64,18,13,29,9,13,0,19,47,20,18,31,15,22,166,428
Ukraine,Zaporizhia,50,2672973,32878,34884,8064,8,12,23,9,19,10,33,28,46,16,9,19,8,10,0,11,36,15,12,23,10,15,132,401
Ukraine,Zaporizhia,75,2672973,13896,15895,8064,2,4,13,3,3,3,17,17,27,9,5,8,5,7,0,4,14,6,4,9,5,5,58,251
Ukraine,Zhytomyr,0,3006279,3006279,3006279,125652,3529,5225,7964,8758,5858,5201,6795,6997,7922,9661,9627,8398,7980,9793,10366,27876,22291,17698,9900,30941,13879,11281,14156,10770
Ukraine,Zhytomyr,10,3006279,1286272,1273910,125652,3517,5192,7938,8731,5839,5183,6767,6967,7883,9640,9600,8354,7866,9672,10048,27151,21803,17273,9508,29144,13257,10271,12368,9413
Ukraine,Zhytomyr,15,3006279,1248093,1222977,125652,3504,5162,7907,8704,5828,5173,6754,6956,7864,9625,9585,8343,7840,9647,10001,27018,21719,17219,9466,28901,13204,10208,12287,9314
Ukraine,Zhytomyr,20,3006279,1227201,1213389,125652,3496,5151,7890,8684,5819,5167,6746,6949,7827,9620,9576,8333,7827,9635,9976,26943,21674,17189,9448,28772,13177,10176,12248,9274
Ukraine,Zhytomyr,25,3006279,1206147,1189288,125652,3493,5145,7881,8676,5816,5164,6742,6946,7821,9617,9573,8327,7810,9617,9947,26852,21616,17147,9421,28605,13138,10137,12199,9220
Ukraine,Zhytomyr,30,3006279,1175326,1166285,125652,3491,5136,7871,8667,5814,5161,6738,6942,7813,9612,9568,8319,7783,9591,9903,26712,21509,17083,9371,28328,13078,10079,12123,9120
Ukraine,Zhytomyr,50,3006279,1048307,1017304,125652,3346,4777,7422,8232,5598,5006,6532,6763,7395,9388,9363,8141,7355,9144,9374,25155,20241,16223,8828,25983,12548,9572,11554,8587
Ukraine,Zhytomyr,75,3006279,730946,534430,125652,2741,3808,5745,6396,4556,4287,5547,5829,6159,7973,8035,6916,4308,5722,6038,14980,11605,9260,5981,15454,8603,6495,7981,6326
