country,subnational1,subnational2,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Ukraine,Cherkasy,Cherkas'kyi,30,69645,4175049,205,276555,484923,-208368,33795,109997,50016,157336,136398,110385,153240,467039,123886,167269,279384,282346,233740,227021,272666,369708,310101,987964,190449,223311,1325157,194549,108286,123287
Ukraine,Cherkasy,Cherkas'kyi,50,63030,4031667,238,270700,442388,-171689,32164,101943,47178,150750,131793,106384,149572,457472,121507,164311,275856,277543,228165,222059,264255,358366,301149,972071,185619,218461,1316383,188014,104895,120878
Ukraine,Cherkasy,Cherkas'kyi,75,47592,3259712,277,211753,345043,-133289,18741,48058,24609,81894,70335,53469,98181,323513,82651,124778,215409,215837,182136,183630,205767,283058,238775,766944,149521,174797,1220043,138801,80452,100676
Ukraine,Cherkasy,Chornobaivs'kyi,0,162142,580007,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Chornobaivs'kyi,10,16342,563553,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Chornobaivs'kyi,15,15050,543602,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Chornobaivs'kyi,20,14298,531097,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Chornobaivs'kyi,25,13269,516055,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Chornobaivs'kyi,30,12000,496571,135,4310,86902,-82593,736,2588,4024,14636,2503,1668,1132,4183,3173,810,3285,3456,621,2778,4617,6599,8553,6952,5202,6329,16143,1432,490,1519
Ukraine,Cherkasy,Chornobaivs'kyi,50,8733,428491,156,3990,63946,-59956,723,2367,3602,10985,2318,1559,1123,3975,3107,807,3237,3380,442,2768,4542,6342,8222,6463,4960,6169,15802,1361,283,1226
Ukraine,Cherkasy,Chornobaivs'kyi,75,4496,250025,173,2586,34990,-32404,557,1274,1310,1918,1088,764,750,2228,1838,595,2717,2664,166,2551,3442,5010,6265,4809,4504,4200,11824,791,176,632
Ukraine,Cherkasy,Chyhyryns'kyi,0,121767,1794565,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Chyhyryns'kyi,10,40367,1787461,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Chyhyryns'kyi,15,38448,1760235,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Chyhyryns'kyi,20,37349,1744888,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Chyhyryns'kyi,25,35934,1725063,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Chyhyryns'kyi,30,34520,1703861,96,35535,266818,-231283,7260,27873,10295,17814,15104,10251,15248,27459,8468,24280,14048,16078,54333,24866,38737,53914,68999,103737,46020,52664,77896,69330,39066,29110
Ukraine,Cherkasy,Chyhyryns'kyi,50,30847,1633099,105,34487,241201,-206714,6472,26017,10110,16885,15009,9990,14020,26794,8234,23185,13827,15967,53095,24464,38270,52114,67865,96024,45023,52011,76366,68298,38749,28907
Ukraine,Cherkasy,Chyhyryns'kyi,75,24281,1349754,112,28899,193885,-164986,4117,18662,8759,11136,12861,7691,11187,20920,7451,19337,12505,14652,34805,22130,33609,46823,60497,75158,39123,45791,63840,59286,36019,27215
Ukraine,Cherkasy,Drabivs'kyi,0,120329,160760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Drabivs'kyi,10,6026,154365,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Drabivs'kyi,15,5256,143717,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Drabivs'kyi,20,4747,136820,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Drabivs'kyi,25,4359,131349,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Drabivs'kyi,30,3775,123157,33,392,31916,-31524,50,35,61,62,394,181,478,277,8,337,186,454,44,11,681,1354,1598,977,0,439,1298,0,247,246
Ukraine,Cherkasy,Drabivs'kyi,50,2418,98026,41,317,20800,-20483,43,35,61,62,394,181,440,277,0,337,186,443,44,0,638,957,1422,814,0,224,754,0,205,95
Ukraine,Cherkasy,Drabivs'kyi,75,1090,52206,48,153,10325,-10172,32,0,61,0,394,111,38,192,0,300,186,356,44,0,483,276,435,463,0,94,50,0,81,77
Ukraine,Cherkasy,Horodyshchens'kyi,0,89028,1157789,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Horodyshchens'kyi,10,28704,1152791,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Horodyshchens'kyi,15,27374,1137432,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Horodyshchens'kyi,20,26492,1127304,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Horodyshchens'kyi,25,25225,1113467,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Horodyshchens'kyi,30,24014,1099385,87,24560,201035,-176474,3740,9068,5762,14674,9427,13909,14321,17439,25721,30882,38446,31345,25116,14270,23987,26422,30614,77510,29984,26835,49905,19343,22585,28136
Ukraine,Cherkasy,Horodyshchens'kyi,50,21401,1061237,96,24278,179792,-155515,3626,8935,5754,14331,9311,13795,14243,17337,25496,30723,38265,31258,24938,14159,23742,25893,29988,76175,29670,26338,49580,19113,22275,27706
Ukraine,Cherkasy,Horodyshchens'kyi,75,16506,888080,107,21338,141426,-120088,2163,5533,3228,7795,7571,9595,11406,15679,22168,27655,36184,30230,23476,12706,22577,23502,26136,60697,26935,23590,48197,18475,20949,25651
Ukraine,Cherkasy,Kamians'kyi,0,69907,895429,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kamians'kyi,10,20411,888791,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kamians'kyi,15,19590,878059,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kamians'kyi,20,19103,871674,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kamians'kyi,25,18476,863845,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kamians'kyi,30,17850,855345,94,16109,144994,-128885,2120,4572,3084,5115,4765,5294,11714,8994,7946,10079,8871,15390,8329,17075,19870,28295,31167,34834,29017,32360,37982,25573,15494,18685
Ukraine,Cherkasy,Kamians'kyi,50,16474,831154,100,16004,134362,-118359,2100,4554,3084,5101,4686,5294,11672,8986,7946,10061,8774,15298,8302,16934,19833,28082,29868,34792,28911,32318,37891,25417,15494,18685
Ukraine,Cherkasy,Kamians'kyi,75,13838,732688,106,15455,114693,-99237,1932,4314,3057,5086,4542,5147,11368,8744,7903,10013,8630,14797,8060,16235,19428,26911,26931,33995,28350,32015,36307,23592,15332,18235
Ukraine,Cherkasy,Kanivs'ka,0,1467,55769,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kanivs'ka,10,1151,55756,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kanivs'ka,15,1132,55535,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kanivs'ka,20,1124,55425,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kanivs'ka,25,1114,55302,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kanivs'ka,30,1102,55163,101,57,8343,-8286,10,76,0,0,0,0,18,0,0,68,0,281,258,0,0,43,162,0,143,0,175,0,131,0
Ukraine,Cherkasy,Kanivs'ka,50,1070,54658,102,55,8086,-8031,10,76,0,0,0,0,18,0,0,68,0,281,258,0,0,43,162,0,93,0,175,0,131,0
Ukraine,Cherkasy,Kanivs'ka,75,974,51420,106,41,7326,-7286,0,76,0,0,0,0,18,0,0,38,0,207,159,0,0,24,141,0,93,0,175,0,48,0
Ukraine,Cherkasy,Kanivs'kyi,0,128421,2435018,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kanivs'kyi,10,53892,2430821,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kanivs'kyi,15,52510,2413799,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kanivs'kyi,20,51630,2403068,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kanivs'kyi,25,50631,2391316,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Kanivs'kyi,30,49493,2376779,139,34503,330152,-295650,5954,12279,6653,18145,13671,18585,12164,21000,24230,18456,34808,78480,38678,25937,41622,72547,51668,98227,25722,34510,73886,23045,26018,51782
Ukraine,Cherkasy,Kanivs'kyi,50,44754,2292694,147,32969,299885,-266916,5423,11598,6261,17253,13170,17937,11636,20643,23034,17924,33740,75824,36884,23350,37971,67977,49763,93872,24385,31679,72291,22236,25643,50759
Ukraine,Cherkasy,Kanivs'kyi,75,32354,1734700,156,18551,217200,-198650,1668,4268,2161,4425,3954,8321,4429,8424,11885,10282,19636,33969,12786,7687,18447,36429,33956,49965,18605,22992,52342,16646,23196,38741
Ukraine,Cherkasy,Katerynopil's'kyi,0,68213,341756,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Katerynopil's'kyi,10,9645,338134,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Katerynopil's'kyi,15,8961,330225,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Katerynopil's'kyi,20,8386,323621,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Cherkasy,Katerynopil's'kyi,25,7694,315969,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
