Country,Tot. Area (Km²),Tot. Area (mi²),Land Area (Km²),Land Area (mi²),World Share
Finland,"338,424","130,666","303,890","117,333",0.20%
Vietnam,"331,212","127,882","310,070","119,719",0.21%
Malaysia,"330,803","127,724","328,550","126,854",0.22%
Norway,"323,802","125,021","365,268","141,031",0.25%
Côte d'Ivoire,"322,463","124,504","318,000","122,780",0.21%
Poland,"312,679","120,726","306,230","118,236",0.21%
Oman,"309,500","119,499","309,500","119,499",0.21%
Italy,"301,336","116,346","294,140","113,568",0.20%
Ecuador,"276,841","106,889","248,360","95,892",0.17%
Burkina Faso,"272,967","105,393","273,600","105,638",0.18%
New Zealand,"270,467","104,428","263,310","101,665",0.18%
Gabon,"267,668","103,347","257,670","99,487",0.17%
Western Sahara,"266,000","102,703","266,000","102,703",0.18%
Guinea,"245,857","94,926","245,720","94,873",0.16%
United Kingdom,"242,900","93,784","241,930","93,410",0.16%
Uganda,"241,550","93,263","199,810","77,147",0.13%
Ghana,"238,533","92,098","227,540","87,854",0.15%
Romania,"238,391","92,043","230,170","88,869",0.15%
Laos,"236,800","91,429","230,800","89,112",0.15%
Guyana,"214,969","83,000","196,850","76,004",0.13%
Belarus,"207,600","80,155","202,910","78,344",0.14%
Kyrgyzstan,"199,951","77,201","191,800","74,054",0.13%
Senegal,"196,722","75,955","192,530","74,336",0.13%
Syria,"185,180","71,498","183,630","70,900",0.12%
Cambodia,"181,035","69,898","176,520","68,155",0.12%
Uruguay,"181,034","69,898","175,020","67,576",0.12%
Suriname,"163,820","63,251","156,000","60,232",0.10%
Tunisia,"163,610","63,170","155,360","59,985",0.10%
Bangladesh,"147,570","56,977","130,170","50,259",0.09%
Nepal,"147,181","56,827","143,350","55,348",0.10%
Tajikistan,"143,100","55,251","139,960","54,039",0.09%
Greece,"131,990","50,962","128,900","49,769",0.09%
Nicaragua,"130,373","50,337","120,340","46,464",0.08%
North Korea,"120,538","46,540","120,410","46,491",0.08%
Malawi,"118,484","45,747","94,280","36,402",0.06%
Eritrea,"117,600","45,406","101,000","38,996",0.07%
Benin,"112,622","43,484","112,760","43,537",0.08%
Honduras,"112,492","43,433","111,890","43,201",0.08%
Liberia,"111,369","43,000","96,320","37,189",0.07%
Bulgaria,"110,879","42,811","108,560","41,915",0.07%
Cuba,"109,884","42,426","106,440","41,097",0.07%
Guatemala,"108,889","42,042","107,160","41,375",0.07%
Iceland,"103,000","39,769","100,250","38,707",0.07%
South Korea,"100,210","38,691","97,230","37,541",0.07%
Hungary,"93,028","35,918","90,530","34,954",0.06%
Portugal,"92,090","35,556","91,590","35,363",0.06%
Jordan,"89,342","34,495","88,780","34,278",0.06%
Serbia,"88,361","34,116","87,460","33,768",0.06%
Azerbaijan,"86,600","33,436","82,658","31,914",0.06%
Austria,"83,871","32,383","82,409","31,818",0.06%
